thumbnails/redTailHawkStrike75x75.jpg|slides/redTailHawkStrike.jpg|Learjet 31A|Learjet 31A struck a red-tailed hawk on take-off. April 2014  
thumbnails/US_Air_Flight_1549_rescue_effortsthumb.jpg|slides/US_Air_Flight_1549_rescue_efforts.jpg|US Air Flight 1549|January 15,2009 The photo came from United States Army Corps of Engineers and shows the US Airways Flight 1549 after it was ditched into the Hudson River after striking a flock of Canada Geese during initial climb.  Despite the loss of thrust from both engines, all 155 passengers were safely evacuated. 
thumbnails/Delta1thumb.jpg|slides/Delta1.jpg|Delta MD 11 Strike|Delta MD 11 - Jan 21,2001 Strike
thumbnails/Delta2thumb.jpg|slides/Delta2.jpg|Delta MD 11 Strike|Delta MD 11 - Jan 21,2001 Strike
thumbnails/gator1thumb.jpg|slides/gator1.jpg|Visitor on Runway|May 28,2002 Unwelcome Visitor on Orlando International Airport
thumbnails/gator2thumb.jpg|slides/gator2.jpg|Visitor on Runway|May 28,2002 Unwelcome Visitor on Orlando International Airport
thumbnails/Delta3thumb.jpg|slides/Delta3.jpg|Delta MD 11 Strike|Delta MD 11 - Jan 21,2001 Strike
thumbnails/Medford1-9-03-1thumb.jpg|slides/Medford1-9-03-1.jpg|Horizon DHC-8|January 8,2003 Horizon DHC-8 (Medford, OR) Strike
thumbnails/Medford1-9-03-2thumb.jpg|slides/Medford1-9-03-2.jpg|Horizon DHC-8|January 8,2003 Horizon DHC-8 (Medford, OR) Strike
thumbnails/Medford1-9-03-3thumb.jpg|slides/Medford1-9-03-3.jpg|Horizon DHC-8|January 8,2003 Horizon DHC-8 (Medford, OR) Strike
thumbnails/Delta4thumb.jpg|slides/Delta4.jpg|Delta MD 11 Strike|Delta MD 11 - Jan 21,2001 Strike
thumbnails/Delta5thumb.jpg|slides/Delta5.jpg|Delta MD 11 Strike|Delta MD 11 - Jan 21,2001 Strike
thumbnails/Delta6thumb.jpg|slides/Delta6.jpg|Delta MD 11 Strike|Delta MD 11 - Jan 21,2001 Strike
thumbnails/Medford1-9-03-4thumb.jpg|slides/Medford1-9-03-4.jpg|Horizon DHC-8|January 8,2003 Horizon DHC-8 (Medford, OR) Strike
thumbnails/Medford1-9-03-5thumb.jpg|slides/Medford1-9-03-5.jpg|Horizon DHC-8|January 8,2003 Horizon DHC-8 (Medford, OR) Strike
thumbnails/Medford1-9-03-6thumb.jpg|slides/Medford1-9-03-6.jpg|Horizon DHC-8|January 8,2003 Horizon DHC-8 (Medford, OR) Strike
thumbnails/Delta7thumb.jpg|slides/Delta7.jpg|Delta MD 11 Strike|Delta MD 11 - Jan 21,2001 Strike
