00C	ANIMAS AIR PARK
00M	THIGPEN FIELD ARPT
00OI	MIAMI VALLEY HOSPITAL HELIPORT
01G	PERRY-WARSAW ARPT
02C	CAPITOL
05C	GRIFFITH-MERRILLVILLE ARPT
06D	ROLLA MUNICIPAL ARPT
06FA	WM P GWINN ARPT
07F	GLADEWATER MUNICIPAL ARPT
07FA	OCEAN REEF CLUB
08C	RIVERVIEW
09J	JEKYLL ISLAND ARPT
09LA	ERA HELICOPTERS FOURCHON HELIBASE
09N	AIRHAVEN
09R	TYLER COUNTY ARPT
0A9	ELIZABETHTON MUNICIPAL ARPT
0B8	ELIZABETH FIELD ARPT
0G6	WILLIAMS COUNTY ARPT
0IL1	LOYOLA U MED CTR HELIPORT
0LA7	EXXON HELIPORT
0M5	HUMPHREYS COUNTY ARPT
0NC4	WAKE MEDICAL CENTER HELIPORT
0PS2	MARIAN HELIPORT
0Q4	SELMA
0S9	JEFFERSON COUNTY INTL
0TX1	PECAN PLANTATION ARPT
0V6	MISSION SIOUX ARPT
12N	AEROFLEX-ANDOVER
12V	ONA AIRPARK ARPT
12Y	LE SUEUR MUNICIPAL
14G	FREMONT AIRPORT
15TE	ARCO HIGH ISLAND HELIPORT
17N	CROSS KEYS ARPT
18GA	SLEEPY HOLLOW ARPT
1AZ0	MOBILE AIRPORT
1B1	COLUMBIA COUNTY ARPT
1B9	MANSFIELD MUNICIPAL
1C5	BOLINGBROOKS CLOW INTL
1C9	FRAZIER LAKE AIRPARK
1F0	ARDMORE DOWNTOWN EXECUTIVE ARPT
1G3	KENT STATE UNIVERSITY
1G4	GRAND CANYON WEST
1H0	CREVE COEUR ARPT
1I5	FREEHOLD ARPT
1I9	DELPHI MUNICIPAL ARPT
1J9	FT WALTON BEACH ARPT
1M9	LAKE BARKLEY STATE PK ARPT
1MO3	LAKE VIKING
1O2	LAMPSON FIELD ARPT
1O6	DUNSMUIR MUNICIPAL-MOTT ARPT
1Q5	GRAVELLY VALLEY
1R8	BAY MINETTE MUNICIPAL
1TE6	MOORE AIRPORT -WILDORADO
1U7	BEAR LAKE COUNTY ARPT
1V0	NAVAJO LAKE ARPT
20E	MARICOPA MEDICAL CENTER HELIPORT
20N	KINGSTON-ULSTER ARPT
23S	SEELEY LAKE
24LA	ERA HELICOPTERS CAMERON BASE HELIPORT
24VA	CHERRYSTONE ARPT
26A	ASHLAND/LINEVILLE
26N	OCEAN CITY MUNICIPAL -NJ
28J	PALATKA MUNICIPAL ARPT - LT KAY LARKIN FLD
28NJ	STEEL PIER TAJ MAHAL HELIPORT
2A0	MARK ANTON AIRPORT
2A5	CAUSEY ARPT
2B7	PITTSFIELD MUNICIPAL -ME
2G1	CONCORD AIRPARK
2G2	JEFFERSON COUNTY ARPT
2I0	MADISONVILLE MUNICIPAL
2LA0	CENTRAL INDUSTRIES
2LS0	AIR LOGISTICS GALLIANO HELIPORT
2MO1	BIRD FIELD AIRPORT
2N8	MARLBORO ARPT -CLOSED
2O1	GANSNER FIELD
2R2	HENDRICKS COUNTY-GORDON GRAHAM FIELD
2R4	PETER PRINCE FIELD ARPT
2R9	KARNES COUNTY ARPT
2S1	VASHON MUNICIPAL ARPT
2W2	CLEARVIEW AIRPARK
2W6	ST. MARYS COUNTY REGIONAL
2WA1	DIAMOND POINT AIRSTRIP
32S	STEVENSVILLE
33N	DELAWARE AIRPARK
33R	GROVETON-TRINITY COUNTY
34VA	LOUDOUN HOSPITAL CENTER HELIPORT
35D	PADGHAM FIELD
35ME	MATINICUS ISLAND ARPT
36U	HEBER CITY MUNI ARPT - RUSS MCDONALD FIELD
37KY	UK HOSPITAL HELIPORT
38TE	JOHN S DUNN HELISTOP
39N	PRINCETON ARPT
3A2	NEW TAZEWELL MUNICIPAL
3B0	SOUTHBRIDGE MUNICIPAL ARPT
3CK	LAKE IN THE HILLS
3CM	JAMES CLEMENTS MUNICIPAL ARPT
3D2	EPHRAIM- GIBRALTAR ARPT
3EX	EXCELSIOR SPRINGS MEM
3F7	JONES MEMORIAL
3FD1	TAMPA BAY EXECUTIVE -CLOSED
3FU	FAULKTON MUNICIPAL ARPT
3G9	BUTLER FARM SHOW
3GV	EAST KANSAS CITY ARPT
3I2	MASON COUNTY ARPT -WV
3LF	LITCHFIELD MUNICIPAL
3MY	MOUNT HAWLEY AUXILIARY ARPT
3R7	JENNINGS
3R9	LAKEWAY AIRPARK ARPT
3T0	CEDAR MILLS
3TR	JERRY TYLER MEMORIAL
3W2	PUT IN BAY
3W3	KENTMORR AIRPARK
3W9	MIDDLE BASS-EAST POINT
3XS2	CITIZENS MEDICAL CENTER HELIPORT
41AZ	AK CHIN COMMUNITY AIRFIELD
41C	CALKINS FIELD ARPT
42B	GOODSPEED
42PN	ALLEGHENY GEN HOSP EMERG HELIPORT
44G	BETZ ARPT
44N	SKY ACRES AIRPORT
45FA	HENDRY MEDICAL HELIPORT
45LA	AIR LOGICTICS N HELIPORT
46MO	SONTIMER ARPT
46N	SKY PARK
48D	CLARE MUNICIPAL ARPT
49B	STURGIS MUNICIPAL ARPT
4A7	CLAYTON COUNTY ARPT- TARA FIELD
4AC	CORONADO ARPT
4B0	SOUTH ALBANY ARPT
